LR_comb	lig_cell_type	lig_expr	ligand	rec_cell_type	rec_expr	receptor	LR_expr	lig_nr	rec_nr	rand_expr	av_diff	log2fc	pvalue	LR_cell_comb	p.adj	PI
GUCA2A-GUCY2C	Epithelial	0.603134488061113	GUCA2A	Myofibroblast_Mesothelium	0	GUCY2C	0.603134488061113	35	35	1.11847022004902	-0.515335731987902	-0.793198427272658	0	Epithelial--Myofibroblast_Mesothelium	0	-0.918535831756961
IHH-PTCH1	Myofibroblast_Mesothelium	0.116389226537672	IHH	Fibroblasts	1.03939022294037	PTCH1	1.15577944947804	42	56	0.747079597929111	0.408699851548926	0.568013660823936	0	Myofibroblast_Mesothelium--Fibroblasts	0	0.966806532043234
IHH-PTCH2	Myofibroblast_Mesothelium	0.206547700872094	IHH	Epithelial	0.366478979373836	PTCH2	0.57302668024593	35	35	0.288009111419272	0.285017568826658	0.794573166669082	0	Myofibroblast_Mesothelium--Epithelial	0	0.920127800867748
ITGA9-VCAM1	Epithelial	0.0589869542107986	ITGA9	Fibroblasts	0.0409981875190277	VCAM1	0.0999851417298264	29	38	0.395762452890675	-0.295777311160848	-1.30975619522676	0	Epithelial--Fibroblasts	0	-2.40302122383136
JAG1-NOTCH1	Epithelial	0.340705869658096	JAG1	Fibroblasts	0.164492818424878	NOTCH1	0.505198688082973	29	38	1.07981635143441	-0.574617663351434	-0.963081543893704	0	Epithelial--Fibroblasts	0	-1.76697418854824
JAG2-NOTCH1	Epithelial	0.0339768169479401	JAG2	Fibroblasts	0.164492818424878	NOTCH1	0.198469635372818	29	38	0.81879744733525	-0.620327811962433	-1.62216268127801	0	Epithelial--Fibroblasts	0	-2.97619615453955
JAG2-NOTCH1	Fibroblasts	0.0436868377541379	JAG2	Epithelial	0.0511106849433018	NOTCH1	0.0947975226974396	38	29	0.374360342482825	-0.279562819785385	-1.2840080722798	0	Fibroblasts--Epithelial	0	-2.35578091594745
JAG2-NOTCH3	Epithelial	0.0339768169479401	JAG2	Fibroblasts	0.314682188684144	NOTCH3	0.348659005632084	29	38	0.872348192303152	-0.523689186671068	-1.11585365743939	0	Epithelial--Fibroblasts	0	-2.04726653043428
JAM2-F11R	Fibroblasts	0.0726634738751031	JAM2	Epithelial	0.108201376528329	F11R	0.180864850403432	38	29	0.553521532203814	-0.372656681800383	-1.21835868490647	0	Fibroblasts--Epithelial	0	-2.23533340688846
LAMA1-CD44	Epithelial	0	LAMA1	Fibroblasts	0.110186230064085	CD44	0.110186230064085	29	38	0.35497638139483	-0.244790151330744	-1.11412349739994	0	Epithelial--Fibroblasts	0	-2.04409219057578
LAMA1-DAG1	Myofibroblast_Mesothelium	0	LAMA1	Fibroblasts	0.135355989354014	DAG1	0.135355989354014	42	56	0.324391118664441	-0.189035129310428	-0.850549897652195	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.44770672537352
LAMA1-ITGA1	Epithelial	0	LAMA1	Fibroblasts	0.191573151565444	ITGA1	0.191573151565444	29	38	0.54434323272245	-0.352770081157007	-1.14397151623253	0	Epithelial--Fibroblasts	0	-2.09885461354078
LAMA1-ITGA7	Endothelial	0	LAMA1	Fibroblasts	0.441248332794148	ITGA7	0.441248332794148	57	17	0.19257717949236	0.248671153301787	0.887473429738461	0	Endothelial--Fibroblasts	0	0.9376667567423
LAMA1-ITGA7	Myofibroblast_Mesothelium	0	LAMA1	Fibroblasts	0	ITGA7	0	42	56	0.192440973505855	-0.192440973505855	-1.54814545948612	0	Myofibroblast_Mesothelium--Fibroblasts	0	-2.63507243930211
LAMA1-ITGA7	Epithelial	0	LAMA1	Fibroblasts	0	ITGA7	0	29	38	0.221470568938076	-0.221470568938076	-1.68468666293218	0	Epithelial--Fibroblasts	0	-3.09090945420629
LAMA2-CD44	Fibroblasts	0.179412371727573	LAMA2	Myofibroblast_Mesothelium	0.211793347982711	CD44	0.391205719710284	56	42	0.239444020863406	0.151761698846878	0.533153686674177	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.907471954304458
LAMA2-DAG1	Fibroblasts	0.179412371727573	LAMA2	Myofibroblast_Mesothelium	0.226510994104945	DAG1	0.405923365832518	56	42	0.252673144580994	0.153250221251524	0.520587149533943	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.886082662056241
LAMA2-DAG1	Myofibroblast_Mesothelium	0.104560695927685	LAMA2	Fibroblasts	0.135355989354014	DAG1	0.239916685281698	42	56	0.468206776494549	-0.22829009121285	-0.741234857061112	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.26164342692974
LAMA2-ITGA7	Endothelial	0.0669119719852903	LAMA2	Fibroblasts	0.441248332794148	ITGA7	0.508160304779438	57	17	0.259489151477651	0.248671153301787	0.758503419081626	0	Endothelial--Fibroblasts	0	0.801402517659387
LAMA2-ITGA7	Myofibroblast_Mesothelium	0.104560695927685	LAMA2	Fibroblasts	0	ITGA7	0.104560695927685	42	56	0.336256631335962	-0.231695935408278	-1.09264808739618	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.85977799651303
LAMA3-DAG1	Myofibroblast_Mesothelium	0	LAMA3	Fibroblasts	0.135355989354014	DAG1	0.135355989354014	42	56	0.324391118664441	-0.189035129310428	-0.850549897652195	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.44770672537352
LAMA3-ITGA7	Endothelial	0.0669119719852903	LAMA3	Fibroblasts	0.441248332794148	ITGA7	0.508160304779438	57	17	0.259489151477651	0.248671153301787	0.758503419081626	0	Endothelial--Fibroblasts	0	0.801402517659387
LAMA3-ITGA7	Myofibroblast_Mesothelium	0	LAMA3	Fibroblasts	0	ITGA7	0	42	56	0.192440973505855	-0.192440973505855	-1.54814545948612	0	Myofibroblast_Mesothelium--Fibroblasts	0	-2.63507243930211
LAMA4-ITGA7	Endothelial	1.27101452371316	LAMA4	Fibroblasts	0.441248332794148	ITGA7	1.71226285650731	57	17	1.46359170320552	0.248671153301787	0.212928389276129	0	Endothelial--Fibroblasts	0	0.224971098289386
LAMA4-ITGA9	Epithelial	1.98934466679376	LAMA4	Endothelial	1.2026817571354	ITGA9	3.19202642392916	2	3	1.27544793709531	1.91657848683385	1.25907438343525	0	Epithelial--Endothelial	0	0.273391190608196
LAMA5-ITGA7	Endothelial	0.984266735010006	LAMA5	Fibroblasts	0.441248332794148	ITGA7	1.42551506780415	57	17	1.17684391450236	0.248671153301787	0.256714253614263	0	Endothelial--Fibroblasts	0	0.27123338404277
LAMB1-ITGA7	Endothelial	1.8237318991138	LAMB1	Fibroblasts	0.441248332794148	ITGA7	2.26498023190795	57	17	2.01630907860616	0.248671153301787	0.160277781833378	0	Endothelial--Fibroblasts	0	0.169342701238778
LAMB2-ITGA7	Endothelial	1.43613737879087	LAMB2	Fibroblasts	0.441248332794148	ITGA7	1.87738571158502	57	17	1.62871455828323	0.248671153301787	0.19389463873234	0	Endothelial--Fibroblasts	0	0.204860845359002
LAMB3-CD44	Fibroblasts	0.458438375784155	LAMB3	Epithelial	0.146744252419146	CD44	0.605182628203301	38	29	0.205985170690669	0.399197457512631	1.20453519944335	0	Fibroblasts--Epithelial	0	2.20997133639301
LAMB3-ITGA2	Fibroblasts	0.458438375784155	LAMB3	Epithelial	0.0334181707766118	ITGA2	0.491856546560766	38	29	0.124802153314509	0.367054393246258	1.39659168484851	0	Fibroblasts--Epithelial	0	2.56233906122988
LAMB3-ITGA3	Fibroblasts	0.458438375784155	LAMB3	Epithelial	0.212564072496454	ITGA3	0.671002448280609	38	29	0.259519890913371	0.411482557367238	1.10066384947164	0	Fibroblasts--Epithelial	0	2.01939765600906
LAMB3-ITGA6	Fibroblasts	0.458438375784155	LAMB3	Epithelial	0.0665043879778496	ITGA6	0.524942763762004	38	29	0.187962720037791	0.336980043724213	1.11784201371501	0	Fibroblasts--Epithelial	0	2.0509145852007
LAMB3-ITGA7	Fibroblasts	0.458438375784155	LAMB3	Epithelial	0	ITGA7	0.458438375784155	38	29	0.123104470398152	0.335333905386002	1.32367866519582	0	Fibroblasts--Epithelial	0	2.42856490207141
LAMB3-ITGA7	Endothelial	0	LAMB3	Fibroblasts	0.441248332794148	ITGA7	0.441248332794148	57	17	0.19257717949236	0.248671153301787	0.887473429738461	0	Endothelial--Fibroblasts	0	0.9376667567423
LAMB3-ITGA9	Fibroblasts	0.458438375784155	LAMB3	Epithelial	0.0589869542107986	ITGA9	0.517425329994953	38	29	0.158486639641712	0.358938690353242	1.25617495689787	0	Fibroblasts--Epithelial	0	2.30471525408467
LAMB3-ITGB8	Fibroblasts	0.458438375784155	LAMB3	Epithelial	0.118702322768644	ITGB8	0.577140698552799	38	29	0.18527536444636	0.391865334106439	1.24710046759883	0	Fibroblasts--Epithelial	0	2.28806620866653
LAMB3-SV2A	Fibroblasts	0.458438375784155	LAMB3	Epithelial	0	SV2A	0.458438375784155	38	29	0.138515127521258	0.319923248262896	1.22731731644974	0	Fibroblasts--Epithelial	0	2.25176988706196
LAMB3-SV2B	Fibroblasts	0.458438375784155	LAMB3	Epithelial	0	SV2B	0.458438375784155	38	29	0.111902739394737	0.346535636389417	1.39799584827537	0	Fibroblasts--Epithelial	0	2.56491529223285
LAMB3-SV2C	Fibroblasts	0.458438375784155	LAMB3	Epithelial	0	SV2C	0.458438375784155	38	29	0.111902739394737	0.346535636389417	1.39799584827537	0	Fibroblasts--Epithelial	0	2.56491529223285
LAMC1-CD44	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0.211793347982711	CD44	1.79258255058246	56	42	1.37385135979693	0.418731190785537	0.360765195262768	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.614052392345559
LAMC1-DAG1	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0.226510994104945	DAG1	1.8073001967047	56	42	1.38708048351451	0.420219713190184	0.359049201586352	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.611131628269397
LAMC1-ITGA2	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0.136627875802333	ITGA2	1.71741707840209	56	42	1.33928976657112	0.378127311830961	0.336532467680695	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.57280627287444
LAMC1-ITGA3	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0	ITGA3	1.58078920259975	56	42	1.22883044097747	0.351958761622282	0.338981771081163	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.576975191141463
LAMC1-ITGA6	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0.391187418876411	ITGA6	1.97197662147616	56	42	1.55615693354953	0.415819687926635	0.323168339186048	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.5500594137497
LAMC1-ITGA7	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0.0305028347518279	ITGA7	1.61129203735158	56	42	1.22995164552492	0.381340391826662	0.363712188196506	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.619068419625767
LAMC1-ITGA7	Endothelial	1.12931776003777	LAMC1	Fibroblasts	0.441248332794148	ITGA7	1.57056609283191	57	17	1.32189493953013	0.248671153301787	0.23252218978586	0	Endothelial--Fibroblasts	0	0.24567307624227
LAMC1-ITGA9	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0.134777378584716	ITGA9	1.71556658118447	56	42	1.35421538811243	0.361351193072038	0.320178871314779	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.544971090590211
LAMC1-ITGB1	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	1.7311064312758	ITGB1	3.31189563387555	56	42	2.80893335629615	0.502962277579404	0.230083272227717	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.391620881407972
LAMC1-ITGB4	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0.0731093523154329	ITGB4	1.65389855491519	56	42	1.31073995538148	0.343158599533705	0.314113227573183	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.534646860039285
LAMC1-ITGB8	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0.0245971687483534	ITGB8	1.60538637134811	56	42	1.2255420033922	0.379844367955911	0.363516245800391	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.618734909357381
LAMC1-SV2A	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0.0620993557539625	SV2A	1.64288855835372	56	42	1.27764008416935	0.365248474184365	0.339281299889556	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.577485014106054
LAMC1-SV2B	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0.029043650390001	SV2B	1.60983285298975	56	42	1.22898774362503	0.38084510936472	0.363527499756736	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.618754064527856
LAMC1-SV2C	Fibroblasts	1.58078920259975	LAMC1	Myofibroblast_Mesothelium	0	SV2C	1.58078920259975	56	42	1.20615943441849	0.37462976818126	0.363807791203299	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.619231143901299
LAMC2-CD44	Epithelial	0.0626699455445901	LAMC2	Fibroblasts	0.110186230064085	CD44	0.172856175608675	29	38	0.435179500882109	-0.262323325273434	-0.971882160231969	0	Epithelial--Fibroblasts	0	-1.78312075683379
LAMC2-DAG1	Myofibroblast_Mesothelium	0.029275755160102	LAMC2	Fibroblasts	0.135355989354014	DAG1	0.164631744514116	42	56	0.347460413730602	-0.182828669216486	-0.757773920752291	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.28979429003982
LAMC2-ITGA7	Endothelial	0.061754540265933	LAMC2	Fibroblasts	0.441248332794148	ITGA7	0.503002873060081	57	17	0.254331719758293	0.248671153301787	0.767064254761693	0	Endothelial--Fibroblasts	0	0.81044753327129
LAMC2-ITGA7	Myofibroblast_Mesothelium	0.029275755160102	LAMC2	Fibroblasts	0	ITGA7	0.029275755160102	42	56	0.215510268572016	-0.186234513411914	-1.28723522750767	0	Myofibroblast_Mesothelium--Fibroblasts	0	-2.19098150636967
LAMC3-ITGA1	Epithelial	0.0852841519920321	LAMC3	Fibroblasts	0.191573151565444	ITGA1	0.276857303557476	29	38	0.644669224842193	-0.367811921284717	-0.982581383495472	0	Epithelial--Fibroblasts	0	-1.80275071596237
LAMC3-ITGA7	Endothelial	0.282930417046659	LAMC3	Fibroblasts	0.441248332794148	ITGA7	0.724178749840806	57	17	0.47550759653902	0.248671153301787	0.518122294810697	0	Endothelial--Fibroblasts	0	0.547426024815411
LAMC3-ITGA7	Myofibroblast_Mesothelium	0.23113514994464	LAMC3	Fibroblasts	0	ITGA7	0.23113514994464	42	56	0.440592176793231	-0.209457026848591	-0.707120473272537	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.20357790604846
MIF-CD44	Epithelial	0.358354110601855	MIF	Fibroblasts	0.110186230064085	CD44	0.46854034066594	29	38	0.972845537001408	-0.504305196335467	-0.916107754943719	0	Epithelial--Fibroblasts	0	-1.68079096435586
NAMPT-INSR	Muscle	0	NAMPT	Neural	0.122774639124513	INSR	0.122774639124513	17	18	0.472675009596538	-0.349900370472025	-1.36213164422309	0	Muscle--Neural	0	-0.517424700019666
NCAM1-FGFR1	Muscle	1.63393179834494	NCAM1	Fibroblasts	1.00182775639136	FGFR1	2.63575955473631	26	71	2.38880949719837	0.246950057537938	0.136485632405342	0	Muscle--Fibroblasts	0	0.160472158250876
NGF-NGFR	Myofibroblast_Mesothelium	0	NGF	Fibroblasts	0.0930099681447884	NGFR	0.0930099681447884	42	56	0.303491947201452	-0.210481979056664	-1.06386452233134	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.81078597283562
NGF-NGFR	Epithelial	0	NGF	Fibroblasts	0.036246874858505	NGFR	0.036246874858505	29	38	0.302364640425342	-0.266117765566837	-1.56228038882218	0	Epithelial--Fibroblasts	0	-2.86632958530517
NRTN-GFRA2	Myofibroblast_Mesothelium	0.0927019910989342	NRTN	Fibroblasts	0.0937305162586848	GFRA2	0.186432507357619	42	56	0.42065690401517	-0.234224396657551	-0.862137762419952	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.46743023577933
PDGFC-PDGFRA	Fibroblasts	0.505672108853156	PDGFC	Neural	0.726390732621233	PDGFRA	1.23206284147439	68	28	1.00736013119718	0.22470271027721	0.266537658785998	0	Fibroblasts--Neural	0	0.391277292087306
PDGFC-PDGFRA	Fibroblasts	0.0529832733264576	PDGFC	Myofibroblast_Mesothelium	0.927335979333248	PDGFRA	0.980319252659706	56	42	1.33567778305167	-0.355358530391964	-0.410274277374067	0	Fibroblasts--Myofibroblast_Mesothelium	0	-0.698320971223111
PENK-OPRD1	Pericytes	0.342018428485654	PENK	Fibroblasts	0.234827050191133	OPRD1	0.576845478676787	3	9	0.272887724813386	0.303957753863404	0.860085203995286	0	Pericytes--Fibroblasts	0	0.629622331581734
PENK-OPRD1	Fibroblasts	0.151310711753245	PENK	Myofibroblast_Mesothelium	0	OPRD1	0.151310711753245	56	42	0.452730854773422	-0.301420143020176	-1.13710498422212	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.93544733549222
POMC-MC1R	Fibroblasts	0.191321067305748	POMC	Endothelial	0.0655706440519475	MC1R	0.256891711357695	17	57	0.139102699326026	0.117789012031669	0.577855978558612	0	Fibroblasts--Endothelial	0	0.610538099646411
POMC-OPRD1	Fibroblasts	0.191321067305748	POMC	Endothelial	0	OPRD1	0.191321067305748	17	57	0.0735320552740784	0.117789012031669	0.747407850189337	0	Fibroblasts--Endothelial	0	0.789679410523088
POSTN-ITGAV	Fibroblasts	0.923614229279205	POSTN	Myofibroblast_Mesothelium	0.699242147830978	ITGAV	1.62285637711018	56	42	2.39367895177115	-0.770822574660964	-0.533473298778196	0	Fibroblasts--Myofibroblast_Mesothelium	0	-0.908015960709933
POSTN-ITGB5	Fibroblasts	0.923614229279205	POSTN	Myofibroblast_Mesothelium	0.288987570246103	ITGB5	1.21260179952531	56	42	1.96093466962753	-0.748332870102217	-0.650869456955727	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.10783399395614
PTN-NCL	Epithelial	1.26070961112468	PTN	Fibroblasts	1.50640522173254	NCL	2.76711483285722	29	38	2.22229377111511	0.54482106174211	0.30404920287926	0	Epithelial--Fibroblasts	0	0.557841749686375
PYY-NPY1R	Fibroblasts	1.2341185557829	PYY	Epithelial	0	NPY1R	1.2341185557829	38	29	0.382961254530216	0.851157301252684	1.46590751770184	0	Fibroblasts--Epithelial	0	2.6895134300942
PYY-NPY1R	Fibroblasts	0.086851036487431	PYY	Neural	0.074692121269656	NPY1R	0.161543157757087	68	28	0.437564720612713	-0.276021562855626	-1.03938943169584	0	Fibroblasts--Neural	0	-1.52582372078476
SEMA3A-NRP1	Myofibroblast_Mesothelium	0.541627930319085	SEMA3A	Fibroblasts	0.472426256460602	NRP1	1.01405418677969	42	56	1.37474894429686	-0.360694757517179	-0.404649970394948	0	Myofibroblast_Mesothelium--Fibroblasts	0	-0.688747932578687
SEMA3A-PLXNA2	Fibroblasts	0.227924625029755	SEMA3A	Epithelial	0.0621159260825985	PLXNA2	0.290040551112354	38	29	0.660971293601691	-0.370930742489338	-0.964217907859193	0	Fibroblasts--Epithelial	0	-1.76905908552145
SEMA3B-NRP1	Myofibroblast_Mesothelium	0.259874699623764	SEMA3B	Fibroblasts	0.472426256460602	NRP1	0.732300956084366	42	56	1.12678157038006	-0.394480614295689	-0.559701199134929	0	Myofibroblast_Mesothelium--Fibroblasts	0	-0.952658030321228
SEMA3B-NRP2	Neural	0.378750696486062	SEMA3B	Fibroblasts	0.825413082685797	NRP2	1.20416377917186	28	68	0.987010919218704	0.217152859953155	0.262758624549318	0	Neural--Fibroblasts	0	0.385729669700405
SEMA3B-PLXNA3	Myofibroblast_Mesothelium	0.431119819971013	SEMA3B	Epithelial	0.236959165474549	PLXNA3	0.668078985445562	35	35	0.405881432356967	0.262197553088595	0.602455390109327	0	Myofibroblast_Mesothelium--Epithelial	0	0.697652496303191
SEMA3C-NRP1	Fibroblasts	0.0669740149744505	SEMA3C	Myofibroblast_Mesothelium	0.533934794491783	NRP1	0.600908809466234	56	42	0.883309451323806	-0.282400641857572	-0.488418752693778	0	Fibroblasts--Myofibroblast_Mesothelium	0	-0.831329372944642
SEMA3C-NRP1	Myofibroblast_Mesothelium	0.0610041372979469	SEMA3C	Fibroblasts	0.472426256460602	NRP1	0.533430393758549	42	56	0.88651667365821	-0.353086279899661	-0.639157341370978	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.08789899831721
SEMA3C-NRP1	Epithelial	0.263452904216366	SEMA3C	Fibroblasts	0.196947320996958	NRP1	0.460400225213324	29	38	1.07528942467993	-0.614889199466609	-1.06848663538186	0	Epithelial--Fibroblasts	0	-1.96036183799706
SEMA3C-NRP2	Neural	0.704335395099732	SEMA3C	Fibroblasts	0.825413082685797	NRP2	1.52974847778553	28	68	1.31259561783238	0.217152859953154	0.206300801658682	0	Neural--Fibroblasts	0	0.30284958379281
SEMA3C-NRP2	Fibroblasts	0.0669740149744505	SEMA3C	Myofibroblast_Mesothelium	0.275204727961042	NRP2	0.342178742935493	56	42	0.60416414390755	-0.261985400972058	-0.671282095457713	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.14257800382965
SEMA3C-PLXNA2	Fibroblasts	0.0669740149744505	SEMA3C	Myofibroblast_Mesothelium	0.193560386651426	PLXNA2	0.260534401625876	56	42	0.558512360785142	-0.297977959159266	-0.869073595507933	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.47923560103216
SEMA3C-PLXNA3	Fibroblasts	0.0669740149744505	SEMA3C	Myofibroblast_Mesothelium	0.154749908483876	PLXNA3	0.221723923458326	56	42	0.530924251182815	-0.30920032772449	-0.971643586435351	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.65381826349206
SEMA3C-PLXNA4	Fibroblasts	0.0669740149744505	SEMA3C	Myofibroblast_Mesothelium	0.0298390788890489	PLXNA4	0.0968130938634994	56	42	0.387744660921996	-0.290931567058497	-1.30929987496261	0	Fibroblasts--Myofibroblast_Mesothelium	0	-2.22853737299393
SEMA3C-PLXND1	Fibroblasts	0.0669740149744505	SEMA3C	Myofibroblast_Mesothelium	0.697350193618114	PLXND1	0.764324208592565	56	42	1.12292550534887	-0.358601296756305	-0.500692049701704	0	Fibroblasts--Myofibroblast_Mesothelium	0	-0.852219546078432
SEMA3D-NRP1	Myofibroblast_Mesothelium	0.0654915716825695	SEMA3D	Fibroblasts	0.472426256460602	NRP1	0.537917828143172	42	56	0.869988848802207	-0.332071020659034	-0.604597563213882	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.02907537914618
SEMA3D-NRP1	Epithelial	0.0975433026220775	SEMA3D	Fibroblasts	0.196947320996958	NRP1	0.294490623619035	29	38	0.911175313397859	-0.616684689778824	-1.35797023211613	0	Epithelial--Fibroblasts	0	-2.49147994183855
SEMA3D-NRP2	Neural	0.425138206637414	SEMA3D	Fibroblasts	0.825413082685797	NRP2	1.25055128932321	28	68	1.03339842937006	0.217152859953155	0.252893321197853	0	Neural--Fibroblasts	0	0.371247404047729
SEMA3D-PLXNA1	Epithelial	0.0975433026220775	SEMA3D	Fibroblasts	0.0367130364703185	PLXNA1	0.134256339092396	29	38	0.437622948513036	-0.303366609420639	-1.19850663262271	0	Epithelial--Fibroblasts	0	-2.19891067176545
SEMA3F-NRP2	Neural	0.0796758481826313	SEMA3F	Fibroblasts	0.825413082685797	NRP2	0.905088930868428	28	68	0.687936070915273	0.217152859953155	0.351172670891158	0	Neural--Fibroblasts	0	0.515521492712148
SEMA3G-NRP2	Neural	0.0374890771320735	SEMA3G	Fibroblasts	0.825413082685797	NRP2	0.86290215981787	28	68	0.645749299864716	0.217152859953155	0.368698495622636	0	Neural--Fibroblasts	0	0.541249404009048
SEMA3G-NRP2	Epithelial	0	SEMA3G	Fibroblasts	0.221803850646167	NRP2	0.221803850646167	29	38	0.610197577061742	-0.388393726415575	-1.14203884922129	0	Epithelial--Fibroblasts	0	-2.09530873235805
SEMA3G-PLXNA1	Epithelial	0	SEMA3G	Fibroblasts	0.0367130364703185	PLXNA1	0.0367130364703185	29	38	0.343341861391826	-0.306628824921507	-1.69726877184185	0	Epithelial--Fibroblasts	0	-3.11399396020877
SEMA4A-NRP1	Epithelial	0.0298105917312067	SEMA4A	Fibroblasts	0.196947320996958	NRP1	0.226757912728165	29	38	0.867586589470912	-0.640828676742747	-1.56616860146889	0	Epithelial--Fibroblasts	0	-2.87346332328394
SEMA4A-PLXNA1	Epithelial	0.0298105917312067	SEMA4A	Fibroblasts	0.0367130364703185	PLXNA1	0.0665236282015252	29	38	0.394034224586088	-0.327510596384563	-1.56888409179699	0	Epithelial--Fibroblasts	0	-2.8784454572989
SEMA5B-PLXNA1	Epithelial	0	SEMA5B	Fibroblasts	0.0367130364703185	PLXNA1	0.0367130364703185	29	38	0.356852942985458	-0.320139906515139	-1.74057902915593	0	Epithelial--Fibroblasts	0	-3.19345567065122
TGFB1-TGFBR2	Myofibroblast_Mesothelium	0.268567301285366	TGFB1	Endothelial	1.46014679504742	TGFBR2	1.72871409633279	14	7	1.04989765213232	0.678816444200477	0.669324081525047	0	Myofibroblast_Mesothelium--Endothelial	0	0.416923304821764
TGFB3-ACVR1	Fibroblasts	0.0556045672478057	TGFB3	Myofibroblast_Mesothelium	0.0526832022190419	ACVR1	0.108287769466848	56	42	0.279212423233162	-0.170924653766314	-0.864428100914466	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.47132858254422
THBS1-CD47	Epithelial	0	THBS1	Fibroblasts	0.219252484036762	CD47	0.219252484036762	29	38	0.610371342830011	-0.391118858793249	-1.15387553765967	0	Epithelial--Fibroblasts	0	-2.1170256088584
THBS1-SDC4	Endothelial	0.299771843449018	THBS1	Myofibroblast_Mesothelium	0.58453039055646	SDC4	0.884302234005478	7	14	0.383302448112312	0.500999785893165	1.02617506638243	0	Endothelial--Myofibroblast_Mesothelium	0	0.639206494747708
THBS2-CD36	Fibroblasts	1.73674179021101	THBS2	Neural	0.0744117094303856	CD36	1.8111534996414	68	28	1.35215793884091	0.45899556080049	0.396245285549063	0	Fibroblasts--Neural	0	0.581688092550107
THBS2-CD36	Fibroblasts	1.67416598605572	THBS2	Muscle	0.0406666605794597	CD36	1.71483264663518	71	26	1.32011700060699	0.394715646028191	0.353826721973073	0	Fibroblasts--Muscle	0	0.416009632085121
THBS2-CD36	Fibroblasts	0.66019993541399	THBS2	Epithelial	0.0948169353383996	CD36	0.75501687075239	38	29	1.34588876688077	-0.590871896128381	-0.757931777226778	0	Fibroblasts--Epithelial	0	-1.39058410529361
THBS2-CD47	Fibroblasts	1.73674179021101	THBS2	Neural	0.740371914863295	CD47	2.47711370507431	68	28	2.01811814427382	0.45899556080049	0.282973129747539	0	Fibroblasts--Neural	0	0.415404564013164
THBS2-CD47	Fibroblasts	1.67416598605572	THBS2	Muscle	0.616126536375155	CD47	2.29029252243088	71	26	1.89557687640269	0.394715646028191	0.260381327647719	0	Fibroblasts--Muscle	0	0.306141773895773
THBS2-CD47	Fibroblasts	0.66019993541399	THBS2	Epithelial	0.128740586738594	CD47	0.788940522152584	38	29	1.42786368329415	-0.638923161141569	-0.781357032636338	0	Fibroblasts--Epithelial	0	-1.43356262765372
THBS2-ITGA3	Fibroblasts	1.73674179021101	THBS2	Neural	0.228004258113075	ITGA3	1.96474604832409	68	28	1.5057504875236	0.45899556080049	0.36271661504946	0	Fibroblasts--Neural	0	0.532468003125876
THBS2-ITGA3	Fibroblasts	1.67416598605572	THBS2	Muscle	0.079911943387113	ITGA3	1.75407792944284	71	26	1.35936228341465	0.394715646028191	0.345363810165968	0	Fibroblasts--Muscle	0	0.406059414623846
