ip	d_ori	d_shu	d_rat	p_val	pathway
COL9A3 - CD44	[6.69826994]	5.259556595426977	[1.27354271]	0.026000000000000002	COLLAGEN
TNC - (ITGA9+ITGB1)	[7.24510526]	5.617755073453597	[1.2896798]	0.026000000000000002	TENASCIN
COL4A5 - (ITGA9+ITGB1)	[6.44059998]	5.0469561557708165	[1.27613551]	0.027999999999999997	COLLAGEN
PTN - SDC3	[11.36003037]	9.712214436465743	[1.16966429]	0.027999999999999997	PTN
THBS1 - SDC1	[8.10646667]	6.7410044321831055	[1.20256065]	0.03	THBS
MDK - SDC2	[24.26386456]	20.84677459844013	[1.16391456]	0.03	MK
LAMA4 - DAG1	[7.99936501]	9.179494818220409	[0.87143848]	0.034	LAMININ
LAMA5 - DAG1	[10.59829991]	9.143416165002288	[1.15911818]	0.036000000000000004	LAMININ
LAMA4 - CD44	[10.52960766]	9.079559231859626	[1.15970472]	0.036000000000000004	LAMININ
SEMA5A - PLXNA1	[4.26780049]	5.029797880248392	[0.84850338]	0.038	SEMA5
THBS3 - ITGAV	[4.73828173]	5.544793237468738	[0.85454615]	0.038	THBS
LAMB1 - (ITGA1+ITGB1)	[13.51503564]	11.540379155680947	[1.17110846]	0.038	LAMININ
THBS1 - CD47	[6.2373829]	5.077459406772885	[1.22844565]	0.04	THBS
LAMB1 - ITGA6	[14.04602843]	12.105048182955793	[1.16034469]	0.04	LAMININ
WNT5B - FZD5	[5.1608542]	4.202624867659057	[1.22800734]	0.042	ncWNT
CSPG4 - ITGB1	[13.35467934]	11.713986273466315	[1.14006274]	0.042	CSPG4
JAM2 - (ITGA3+ITGB1)	[5.5450305]	4.537482086318699	[1.22205011]	0.044000000000000004	JAM
LAMB1 - (ITGA6+ITGB1)	[15.49839168]	13.645080306761965	[1.13582268]	0.044000000000000004	LAMININ
SEMA3A - (NRP1+PLXNA2)	[4.56111839]	5.485698767254621	[0.83145623]	0.048	SEMA3
LAMB1 - CD44	[12.2836206]	10.867214416539948	[1.13033756]	0.052000000000000005	LAMININ
SEMA3F - PLXNA1	[4.15479122]	4.877407799584161	[0.85184413]	0.052000000000000005	SEMA3
COL4A1 - (ITGA1+ITGB1)	[18.48579837]	15.984432267801335	[1.15648764]	0.054000000000000006	COLLAGEN
SEMA3C - (NRP2+PLXNA3)	[6.52068704]	5.543743872831402	[1.17622444]	0.054000000000000006	SEMA3
GDNF - GFRA1	[7.11649337]	6.021467844515881	[1.18185359]	0.054000000000000006	GDNF
SEMA3C - NRP2	[7.0901557]	6.040053523360597	[1.17385644]	0.055999999999999994	SEMA3
SEMA4D - PLXNB1	[15.81988937]	14.03678415338038	[1.12703089]	0.057999999999999996	SEMA4
LAMC1 - ITGA9	[8.83070718]	7.617298591099484	[1.15929645]	0.057999999999999996	LAMININ
LAMA5 - ITGA6	[11.31559366]	9.918307812796966	[1.14087946]	0.06	LAMININ
CD99 - CD99L2	[18.08407522]	19.95775870552741	[0.90611754]	0.06	CD99
LAMB1 - ITGA1	[11.8415035]	10.483615586991665	[1.12952477]	0.064	LAMININ
BMP4 - (BMPR1A+BMPR2)	[6.01838289]	5.0261099040436985	[1.19742365]	0.068	BMP
LAMC1 - (ITGA3+ITGB1)	[9.42224959]	8.265647177098304	[1.13992884]	0.068	LAMININ
COL4A1 - CD44	[16.68301371]	14.946816760996162	[1.11615831]	0.068	COLLAGEN
SEMA3B - (NRP1+PLXNA2)	[17.9064323]	15.56486268294747	[1.15043947]	0.068	SEMA3
COL4A1 - ITGA1	[16.26852752]	14.219931733405964	[1.14406509]	0.07200000000000001	COLLAGEN
WNT5B - FZD2	[5.29601868]	4.392679850325648	[1.20564641]	0.07200000000000001	ncWNT
SEMA3F - PLXNA3	[5.02388799]	5.718801939150661	[0.8784861]	0.07200000000000001	SEMA3
EFNB1 - EPHB4	[6.08671898]	6.806900087166274	[0.89419837]	0.07200000000000001	EPHB
LAMA4 - (ITGA6+ITGB1)	[12.62136858]	11.147960970457016	[1.13216835]	0.07400000000000001	LAMININ
THBS3 - (ITGA3+ITGB1)	[6.10720545]	5.196281397592922	[1.17530306]	0.076	THBS
THBS2 - ITGAV	[10.8137307]	9.354561957827533	[1.15598472]	0.076	THBS
LAMC1 - ITGAV	[6.61015167]	7.4429621177854575	[0.88810766]	0.076	LAMININ
POSTN - (ITGAV+ITGB5)	[23.27543254]	20.799301595980392	[1.11904875]	0.076	PERIOSTIN
PTN - ITGAV	[8.490402]	9.419273418582772	[0.90138609]	0.084	PTN
BMP4 - BMPR1A	[6.0125191]	5.236928322589514	[1.14810032]	0.086	BMP
COL2A1 - SDC1	[6.02125719]	6.805213662977804	[0.88480061]	0.08800000000000001	COLLAGEN
COL6A3 - ITGAV	[10.40453281]	11.539107563817511	[0.90167569]	0.09	COLLAGEN
TNC - ITGAV	[6.56045521]	5.757819355645075	[1.13939928]	0.094	TENASCIN
COL1A2 - ITGAV	[28.15220382]	30.556684252609067	[0.92131082]	0.094	COLLAGEN
COL4A5 - ITGA1	[7.33413276]	6.436322757489477	[1.13949114]	0.098	COLLAGEN
NAMPT - INSR	[5.1229524]	4.459168260571774	[1.14885829]	0.102	VISFATIN
LAMB2 - ITGA6	[14.77916137]	13.378333254290874	[1.10470872]	0.102	LAMININ
TNC - ITGA9	[6.07296597]	5.30131626834889	[1.14555813]	0.10400000000000001	TENASCIN
EFNB1 - EPHB3	[7.28823903]	6.569398745889073	[1.10942254]	0.11	EPHB
SEMA4C - PLXNB2	[12.62852108]	11.49120566152462	[1.09897268]	0.114	SEMA4
PDGFC - PDGFRA	[7.56600591]	6.798900023932058	[1.11282794]	0.12	PDGF
ANGPTL2 - (ITGA5+ITGB1)	[5.4583198]	6.0973790153819385	[0.89519116]	0.12	ANGPTL
THBS1 - ITGA3	[5.33611383]	4.777811779647653	[1.11685309]	0.12	THBS
LAMA4 - ITGA6	[10.94809699]	10.007641195836863	[1.09397377]	0.12	LAMININ
COL4A1 - ITGAV	[13.75721534]	14.94284908576008	[0.92065544]	0.128	COLLAGEN
WNT5B - FZD1	[5.84963353]	5.172006613354483	[1.13101819]	0.128	ncWNT
SEMA3C - PLXNA3	[6.69577516]	6.033073887194866	[1.10984471]	0.138	SEMA3
COL9A2 - ITGAV	[6.27607464]	5.675187090398161	[1.10587978]	0.138	COLLAGEN
THBS3 - ITGB1	[12.95515325]	11.96104941302465	[1.08311176]	0.14	THBS
LAMC1 - ITGA6	[8.54080788]	7.8564068301060175	[1.08711375]	0.146	LAMININ
SEMA3A - PLXNA1	[5.63104875]	5.106201991256623	[1.10278613]	0.146	SEMA3
LAMC1 - ITGA1	[8.21884789]	7.641937563702807	[1.07549268]	0.15	LAMININ
THBS1 - CD36	[4.9712236]	4.449599717880272	[1.11722939]	0.15	THBS
SEMA3C - (NRP1+PLXNA3)	[5.07360724]	5.657337267088213	[0.89681895]	0.154	SEMA3
THBS1 - ITGAV	[5.98642352]	5.474400933705929	[1.09353034]	0.166	THBS
COL6A2 - ITGAV	[16.53040276]	17.728488072920673	[0.93242033]	0.168	COLLAGEN
COL1A1 - ITGAV	[28.70770502]	30.488559735671057	[0.94158941]	0.17	COLLAGEN
SEMA3C - (NRP2+PLXNA1)	[6.25575038]	5.726171711132941	[1.0924839]	0.172	SEMA3
SEMA3C - (NRP2+PLXNA2)	[5.72956483]	6.423100060171852	[0.89202484]	0.172	SEMA3
COL4A5 - (ITGA3+ITGB1)	[5.40618478]	4.901261441168219	[1.10301906]	0.17600000000000002	COLLAGEN
JAM3 - JAM2	[5.08315673]	4.690577407007409	[1.08369531]	0.17800000000000002	JAM
JAM2 - JAM3	[5.08315673]	4.647423581006638	[1.093758]	0.18600000000000003	JAM
THBS3 - CD47	[4.84498047]	5.3733137510064095	[0.90167459]	0.188	THBS
COL4A5 - ITGAV	[5.90852009]	5.4562755450170615	[1.08288521]	0.188	COLLAGEN
SEMA6A - PLXNA2	[4.47057304]	4.907299569749472	[0.91100471]	0.20600000000000002	SEMA6
TNXB - ITGAV	[6.27752176]	5.876126741630922	[1.06830946]	0.20600000000000002	TENASCIN
COL6A3 - CD44	[12.06793384]	11.380693807606239	[1.06038648]	0.21	COLLAGEN
THBS3 - CD36	[4.61204666]	5.0112075465951795	[0.92034637]	0.21	THBS
SEMA3A - PLXNA3	[6.30545445]	5.865714371192231	[1.07496786]	0.214	SEMA3
LAMC1 - CD44	[7.91573386]	7.530208623733352	[1.05119715]	0.22	LAMININ
COL6A3 - ITGA1	[10.35394358]	11.117277001577797	[0.93133809]	0.226	COLLAGEN
EFNB1 - EPHB2	[6.76049774]	6.382592558079266	[1.05920873]	0.23	EPHB
COL9A2 - SDC4	[6.56688124]	6.130277215171264	[1.07122093]	0.23600000000000002	COLLAGEN
LAMA4 - ITGAV	[8.61344927]	9.129335461311694	[0.94349138]	0.242	LAMININ
MDK - ITGB1	[17.32460949]	16.28588095352054	[1.06378092]	0.244	MK
COL2A1 - SDC4	[6.84663484]	6.456724853502456	[1.0603882]	0.24600000000000002	COLLAGEN
SEMA3C - PLXNA1	[5.71457932]	5.4055536453653685	[1.05716818]	0.24600000000000002	SEMA3
FGF7 - FGFR1	[7.49591093]	7.114818296561394	[1.05356323]	0.252	FGF
LAMA4 - ITGB1	[8.99412374]	9.481941908571937	[0.94855293]	0.256	LAMININ
COL9A3 - ITGAV	[5.72833013]	5.427526523344915	[1.05542186]	0.258	COLLAGEN
SEMA3C - NRP1	[6.0359554]	5.7549096974515175	[1.04883581]	0.262	SEMA3
SEMA3F - PLXNA2	[4.73689465]	4.436290760575894	[1.06776019]	0.272	SEMA3
SEMA5A - PLXNA3	[5.94187743]	5.697096766048888	[1.04296586]	0.272	SEMA5
SEMA3F - (NRP2+PLXNA2)	[4.72188551]	4.455748109688853	[1.05972901]	0.27399999999999997	SEMA3
LAMB1 - ITGB1	[9.13058055]	9.540383459797848	[0.95704545]	0.278	LAMININ
JAM2 - ITGB1	[13.77083739]	13.314078913102676	[1.03430643]	0.284	JAM
COL2A1 - ITGA3	[6.16345595]	5.899490416121639	[1.04474379]	0.28600000000000003	COLLAGEN
ANGPTL2 - ITGA5	[6.20432745]	5.961562736394697	[1.04072166]	0.29600000000000004	ANGPTL
AGRN - DAG1	[7.1407305]	7.555908203051798	[0.94505257]	0.3	AGRN
JAM2 - ITGAV	[5.07909774]	5.406917068602136	[0.93937038]	0.308	JAM
LAMA5 - ITGAV	[9.3371139]	9.065060421930195	[1.03001122]	0.326	LAMININ
LAMC1 - (ITGA6+ITGB1)	[8.9035905]	8.620798561155732	[1.03280345]	0.32799999999999996	LAMININ
SEMA3A - NRP1	[5.16436286]	5.484989864775244	[0.94154465]	0.33	SEMA3
SEMA3B - PLXNA2	[9.76774162]	9.479605551332481	[1.03039536]	0.33399999999999996	SEMA3
LAMB2 - ITGB1	[9.54166987]	9.334033960420092	[1.02224504]	0.344	LAMININ
POSTN - ITGAV	[12.52050658]	12.972659926342182	[0.96514567]	0.344	PERIOSTIN
SEMA3C - (NRP1+PLXNA1)	[5.75404752]	5.5687141846910135	[1.03328117]	0.354	SEMA3
FN1 - (ITGAV+ITGB1)	[24.18326479]	23.839604752309718	[1.01441551]	0.36200000000000004	FN1
COL6A3 - (ITGA1+ITGB1)	[11.84146338]	12.25627578832815	[0.9661551]	0.37	COLLAGEN
BMP4 - BMPR2	[5.4141978]	5.651962446730763	[0.95793237]	0.37200000000000005	BMP
LAMB3 - ITGB4	[8.71051209]	8.569776485287967	[1.01642232]	0.37799999999999995	LAMININ
COL6A3 - ITGB1	[9.74281535]	10.055396662367329	[0.96891407]	0.384	COLLAGEN
COL4A5 - ITGA9	[4.84725647]	4.8168861632452495	[1.00630497]	0.386	COLLAGEN
SEMA3A - (NRP1+PLXNA3)	[4.657989]	4.864678268536536	[0.95751224]	0.386	SEMA3
COL9A2 - ITGA3	[5.10296386]	5.277380066187983	[0.96695023]	0.39	COLLAGEN
WNT5B - FZD8	[4.2613834]	4.497576839383234	[0.94748429]	0.39799999999999996	ncWNT
DSC2 - DSG2	[4.76163088]	4.972871186988901	[0.95752146]	0.4	DESMOSOME
VWF - ITGAV	[5.57326352]	5.72689049575878	[0.97317445]	0.418	VWF
THY1 - ITGAV	[7.49397012]	7.712861872509817	[0.9716199]	0.42	THY1
SEMA3A - PLXNA2	[4.67273406]	4.822275679289175	[0.96898941]	0.424	SEMA3
COL4A5 - (ITGA1+ITGB1)	[6.14552668]	6.099503428822185	[1.00754541]	0.434	COLLAGEN
CSF1 - CSF1R	[5.38836579]	5.373567067170012	[1.00275399]	0.43799999999999994	CSF
COL4A5 - CD44	[5.34511561]	5.341473979428762	[1.00068177]	0.44799999999999995	COLLAGEN
LAMB2 - ITGAV	[11.43867962]	11.568699250217216	[0.98876108]	0.46	LAMININ
LAMB1 - ITGAV	[10.61602389]	10.809136246386922	[0.98213434]	0.46799999999999997	LAMININ
LAMB1 - DAG1	[10.72737964]	10.876941543002989	[0.98624964]	0.47600000000000003	LAMININ
COL6A1 - ITGAV	[18.77277886]	18.960359824687824	[0.99010668]	0.486	COLLAGEN
SEMA3A - (NRP1+PLXNA1)	[4.72863412]	4.81745923260445	[0.98156183]	0.494	SEMA3
SEMA3C - (NRP1+PLXNA2)	[6.63398404]	6.755459895141264	[0.98201812]	0.506	SEMA3
LAMC1 - DAG1	[7.32931112]	7.42479631299463	[0.98713969]	0.512	LAMININ
COL4A2 - ITGAV	[13.82702216]	13.830331514300532	[0.99976072]	0.53	COLLAGEN
COL9A2 - SDC1	[6.58336287]	6.620201577341112	[0.99443541]	0.534	COLLAGEN
