gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Fibroblasts	Epithelial	Pericytes	Neural	Myofibroblast_Mesothelium	Endothelial	Muscle	Immune
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SC0F3A046EC	0.058	0.107	0.015	0.266	0.102	0.03	0.152	0.015
SEMA3D	O95025	False	SEM3D_HUMAN		CPI-SC0D1B17933	0.129	0.029	0.008	0.09	0.028	0.033	0.058	0.016
SEMA3B	Q13214	False	SEM3B_HUMAN		CPI-SC0385E2BD3	0.121	0.44	0.043	0.72	0.055	0.147	0.085	0.044
SEMA3A	Q14563	False	SEM3A_HUMAN		CPI-SC065B116BF	0.257	0.037	0.129	0.025	0.508	0.049	0.216	0.024
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SC07D002857	0.058	0.107	0.015	0.266	0.102	0.03	0.152	0.015
SEMA3D	O95025	False	SEM3D_HUMAN		CPI-SC02EEDD7D1	0.129	0.029	0.008	0.09	0.028	0.033	0.058	0.016
SEMA3B	Q13214	False	SEM3B_HUMAN		CPI-SC02B31C3F1	0.121	0.44	0.043	0.72	0.055	0.147	0.085	0.044
SEMA3A	Q14563	False	SEM3A_HUMAN		CPI-SC011FFAFCC	0.257	0.037	0.129	0.025	0.508	0.049	0.216	0.024
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SC0B03C32CA	0.058	0.107	0.015	0.266	0.102	0.03	0.152	0.015
SEMA3D	O95025	False	SEM3D_HUMAN		CPI-SC092404D13	0.129	0.029	0.008	0.09	0.028	0.033	0.058	0.016
SEMA3B	Q13214	False	SEM3B_HUMAN		CPI-SC010BDC6FF	0.121	0.44	0.043	0.72	0.055	0.147	0.085	0.044
SEMA3F	Q13275	False	SEM3F_HUMAN		CPI-SC095832FFD	0.048	0.018	0.023	0.017	0.203	0.137	0.048	0.0
SEMA3G	Q9NS98	False	SEM3G_HUMAN		CPI-SC0F9FC677F	0.002	0.012	0.0	0.023	0.0	0.128	0.0	0.0
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SC0109F58EB	0.058	0.107	0.015	0.266	0.102	0.03	0.152	0.015
SEMA3D	O95025	False	SEM3D_HUMAN		CPI-SC0EDA68DEF	0.129	0.029	0.008	0.09	0.028	0.033	0.058	0.016
SEMA3B	Q13214	False	SEM3B_HUMAN		CPI-SC0CDC67E88	0.121	0.44	0.043	0.72	0.055	0.147	0.085	0.044
SEMA3F	Q13275	False	SEM3F_HUMAN		CPI-SC07644E062	0.048	0.018	0.023	0.017	0.203	0.137	0.048	0.0
SEMA3G	Q9NS98	False	SEM3G_HUMAN		CPI-SC08C686F26	0.002	0.012	0.0	0.023	0.0	0.128	0.0	0.0
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SC0269BB87D	0.058	0.107	0.015	0.266	0.102	0.03	0.152	0.015
SEMA3D	O95025	False	SEM3D_HUMAN		CPI-SC03F6A3F5A	0.129	0.029	0.008	0.09	0.028	0.033	0.058	0.016
SEMA3B	Q13214	False	SEM3B_HUMAN		CPI-SC0DD6C4EB8	0.121	0.44	0.043	0.72	0.055	0.147	0.085	0.044
SEMA3F	Q13275	False	SEM3F_HUMAN		CPI-SC0793C1FB2	0.048	0.018	0.023	0.017	0.203	0.137	0.048	0.0
SEMA3G	Q9NS98	False	SEM3G_HUMAN		CPI-SC095A80741	0.002	0.012	0.0	0.023	0.0	0.128	0.0	0.0
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SC076BD8E87	0.058	0.107	0.015	0.266	0.102	0.03	0.152	0.015
SEMA3D	O95025	False	SEM3D_HUMAN		CPI-SC06D29FEEF	0.129	0.029	0.008	0.09	0.028	0.033	0.058	0.016
SEMA3B	Q13214	False	SEM3B_HUMAN		CPI-SC071A674D3	0.121	0.44	0.043	0.72	0.055	0.147	0.085	0.044
SEMA3F	Q13275	False	SEM3F_HUMAN		CPI-SC09A1EC2FA	0.048	0.018	0.023	0.017	0.203	0.137	0.048	0.0
SEMA3G	Q9NS98	False	SEM3G_HUMAN		CPI-SC0FEC3BA72	0.002	0.012	0.0	0.023	0.0	0.128	0.0	0.0
C3	P01024	False	CO3_HUMAN		CPI-SC09C5EF478	0.018	0.111	0.006	0.011	0.015	0.014	0.018	0.035
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.016	0.002	0.0	0.0	0.002	0.0	0.01	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.004	0.003	0.0	0.012	0.003	0.002	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.009	0.015	0.01	0.017	0.006	0.022	0.015	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.002	0.001	0.0	0.029	0.003	0.0	0.004	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.051	0.004	0.026	0.056	0.053	0.017	0.057	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0F592009B	0.148	0.031	0.317	0.058	0.134	0.031	0.591	0.029
FGF9	P31371	False	FGF9_HUMAN		CPI-SS0BE6B1E97	0.006	0.068	0.0	0.024	0.007	0.006	0.025	0.0
FGF23	Q9GZV9	False	FGF23_HUMAN		CPI-SS09015A868	0.002	0.015	0.0	0.0	0.003	0.002	0.008	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.016	0.002	0.0	0.0	0.002	0.0	0.01	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.004	0.003	0.0	0.012	0.003	0.002	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.009	0.015	0.01	0.017	0.006	0.022	0.015	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.002	0.001	0.0	0.029	0.003	0.0	0.004	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.051	0.004	0.026	0.056	0.053	0.017	0.057	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.148	0.031	0.317	0.058	0.134	0.031	0.591	0.029
FGF9	P31371	False	FGF9_HUMAN		CPI-SS07B324162	0.006	0.068	0.0	0.024	0.007	0.006	0.025	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.004	0.003	0.0	0.012	0.003	0.002	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.009	0.015	0.01	0.017	0.006	0.022	0.015	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.002	0.001	0.0	0.029	0.003	0.0	0.004	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.051	0.004	0.026	0.056	0.053	0.017	0.057	0.0
FGF9	P31371	False	FGF9_HUMAN		CPI-SS09568551C	0.006	0.068	0.0	0.024	0.007	0.006	0.025	0.0
FGF23	Q9GZV9	False	FGF23_HUMAN		CPI-SS0F8710941	0.002	0.015	0.0	0.0	0.003	0.002	0.008	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.004	0.003	0.0	0.012	0.003	0.002	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.009	0.015	0.01	0.017	0.006	0.022	0.015	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.002	0.001	0.0	0.029	0.003	0.0	0.004	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.051	0.004	0.026	0.056	0.053	0.017	0.057	0.0
FGF9	P31371	False	FGF9_HUMAN		CPI-SS05D62446A	0.006	0.068	0.0	0.024	0.007	0.006	0.025	0.0
FGF23	Q9GZV9	False	FGF23_HUMAN		CPI-SS06B22F8E9	0.002	0.015	0.0	0.0	0.003	0.002	0.008	0.0
DHH	O43323	False	DHH_HUMAN		CPI-SS0F5860436	0.003	0.001	0.0	0.0	0.0	0.015	0.0	0.0
IHH	Q14623	False	IHH_HUMAN		CPI-SS0988182B5	0.026	0.163	0.008	0.01	0.016	0.008	0.02	0.04
SHH	Q15465	False	SHH_HUMAN		CPI-SS06EB91EE2	0.005	0.033	0.004	0.0	0.0	0.005	0.0	0.0
DHH	O43323	False	DHH_HUMAN		CPI-SS06AAF408A	0.003	0.001	0.0	0.0	0.0	0.015	0.0	0.0
IHH	Q14623	False	IHH_HUMAN		CPI-SS0A38C4550	0.026	0.163	0.008	0.01	0.016	0.008	0.02	0.04
SHH	Q15465	False	SHH_HUMAN		CPI-SS0763C3EE5	0.005	0.033	0.004	0.0	0.0	0.005	0.0	0.0
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.146	0.086	0.177	0.142	0.182	0.199	0.157	0.064
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0859C173B	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.13
GDF9	O60383	False	GDF9_HUMAN		CPI-SC059B9E436	0.006	0.004	0.022	0.0	0.005	0.037	0.0	0.009
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS0247B3C14	0.002	0.004	0.005	0.0	0.003	0.007	0.006	0.075
TNFSF15	O95150	False	TNF15_HUMAN		CPI-SS0B0CF0EDF	0.014	0.121	0.057	0.005	0.021	0.025	0.0	0.01
ANGPTL1	O95841	False	ANGL1_HUMAN		CPI-SC0AC81463A	0.068	0.006	0.018	0.017	0.013	0.007	0.041	0.0
BMP2	P12643	False	BMP2_HUMAN		CPI-SC00A3D7B85	0.106	0.631	0.208	0.07	0.275	0.293	0.134	0.079
BMP4	P12644	False	BMP4_HUMAN		CPI-SC04E32E133	0.241	0.082	0.127	0.033	0.704	0.071	0.069	0.077
BMP7	P18075	False	BMP7_HUMAN		CPI-SC0A4764C3E	0.035	0.045	0.006	0.041	0.038	0.015	0.02	0.037
BMP5	P22003	False	BMP5_HUMAN		CPI-SC09274D302	0.047	0.014	0.172	0.007	0.41	0.029	0.021	0.02
BMP6	P22004	False	BMP6_HUMAN		CPI-SC0973C5E87	0.004	0.002	0.004	0.001	0.0	0.005	0.0	0.0
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SC00E673985	0.006	0.021	0.009	0.095	0.007	0.0	0.0	0.006
GDF6	Q6KF10	False	GDF6_HUMAN		CPI-SC020222AEA	0.049	0.0	0.0	0.0	0.007	0.005	0.008	0.008
BMP2	P12643	False	BMP2_HUMAN		CPI-SC0C966149F	0.106	0.631	0.208	0.07	0.275	0.293	0.134	0.079
BMP4	P12644	False	BMP4_HUMAN		CPI-SC023F34EB8	0.241	0.082	0.127	0.033	0.704	0.071	0.069	0.077
BMP7	P18075	False	BMP7_HUMAN		CPI-SC0F4AF00A6	0.035	0.045	0.006	0.041	0.038	0.015	0.02	0.037
BMP5	P22003	False	BMP5_HUMAN		CPI-SC041F09999	0.047	0.014	0.172	0.007	0.41	0.029	0.021	0.02
BMP6	P22004	False	BMP6_HUMAN		CPI-SC054081D62	0.004	0.002	0.004	0.001	0.0	0.005	0.0	0.0
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SC00536C03B	0.006	0.021	0.009	0.095	0.007	0.0	0.0	0.006
GDF6	Q6KF10	False	GDF6_HUMAN		CPI-SC03B881D69	0.049	0.0	0.0	0.0	0.007	0.005	0.008	0.008
BMP2	P12643	False	BMP2_HUMAN		CPI-SC06DC452F4	0.106	0.631	0.208	0.07	0.275	0.293	0.134	0.079
BMP4	P12644	False	BMP4_HUMAN		CPI-SC06E958100	0.241	0.082	0.127	0.033	0.704	0.071	0.069	0.077
BMP7	P18075	False	BMP7_HUMAN		CPI-SC0C72C9A68	0.035	0.045	0.006	0.041	0.038	0.015	0.02	0.037
BMP5	P22003	False	BMP5_HUMAN		CPI-SC03B649AD6	0.047	0.014	0.172	0.007	0.41	0.029	0.021	0.02
BMP6	P22004	False	BMP6_HUMAN		CPI-SC0BC00868E	0.004	0.002	0.004	0.001	0.0	0.005	0.0	0.0
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SC06411C510	0.006	0.021	0.009	0.095	0.007	0.0	0.0	0.006
GDF6	Q6KF10	False	GDF6_HUMAN		CPI-SC0BD2322CB	0.049	0.0	0.0	0.0	0.007	0.005	0.008	0.008
BMP7	P18075	False	BMP7_HUMAN		CPI-SC0A4D03098	0.035	0.045	0.006	0.041	0.038	0.015	0.02	0.037
BMP5	P22003	False	BMP5_HUMAN		CPI-SC0725152DF	0.047	0.014	0.172	0.007	0.41	0.029	0.021	0.02
BMP6	P22004	False	BMP6_HUMAN		CPI-SC08530770D	0.004	0.002	0.004	0.001	0.0	0.005	0.0	0.0
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SC0165E8AB7	0.006	0.021	0.009	0.095	0.007	0.0	0.0	0.006
BMP7	P18075	False	BMP7_HUMAN		CPI-SC083EB500B	0.035	0.045	0.006	0.041	0.038	0.015	0.02	0.037
BMP5	P22003	False	BMP5_HUMAN		CPI-SC0E6B2B64E	0.047	0.014	0.172	0.007	0.41	0.029	0.021	0.02
BMP6	P22004	False	BMP6_HUMAN		CPI-SC09085997B	0.004	0.002	0.004	0.001	0.0	0.005	0.0	0.0
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SC033623B7C	0.006	0.021	0.009	0.095	0.007	0.0	0.0	0.006
BMP7	P18075	False	BMP7_HUMAN		CPI-SC0AB3D5AC9	0.035	0.045	0.006	0.041	0.038	0.015	0.02	0.037
BMP5	P22003	False	BMP5_HUMAN		CPI-SC0488382C7	0.047	0.014	0.172	0.007	0.41	0.029	0.021	0.02
BMP6	P22004	False	BMP6_HUMAN		CPI-SC0D18384F3	0.004	0.002	0.004	0.001	0.0	0.005	0.0	0.0
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SC0CC5A410F	0.006	0.021	0.009	0.095	0.007	0.0	0.0	0.006
WNT11	O96014	False	WNT11_HUMAN		CPI-SS0F361D98E	0.015	0.014	0.014	0.001	0.017	0.007	0.012	0.013
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0C6C28D2F	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS07E1666A5	0.065	0.011	0.027	0.039	0.194	0.011	0.061	0.015
WNT11	O96014	False	WNT11_HUMAN		CPI-SS070BA2CC2	0.015	0.014	0.014	0.001	0.017	0.007	0.012	0.013
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS06C087B42	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0D53C1FD0	0.065	0.011	0.027	0.039	0.194	0.011	0.061	0.015
WNT11	O96014	False	WNT11_HUMAN		CPI-SS02C1CD5FD	0.015	0.014	0.014	0.001	0.017	0.007	0.012	0.013
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0CCA2F0BE	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0611C625F	0.065	0.011	0.027	0.039	0.194	0.011	0.061	0.015
WNT11	O96014	False	WNT11_HUMAN		CPI-SS0246C5473	0.015	0.014	0.014	0.001	0.017	0.007	0.012	0.013
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0E32BEF02	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS042E21C6C	0.065	0.011	0.027	0.039	0.194	0.011	0.061	0.015
WNT11	O96014	False	WNT11_HUMAN		CPI-SS0D3F936F9	0.015	0.014	0.014	0.001	0.017	0.007	0.012	0.013
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS01C2BA5C8	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0BCF193A1	0.065	0.011	0.027	0.039	0.194	0.011	0.061	0.015
WNT11	O96014	False	WNT11_HUMAN		CPI-SS007B937D1	0.015	0.014	0.014	0.001	0.017	0.007	0.012	0.013
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F6456A20	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0257E914A	0.065	0.011	0.027	0.039	0.194	0.011	0.061	0.015
WNT11	O96014	False	WNT11_HUMAN		CPI-SS0004E25A6	0.015	0.014	0.014	0.001	0.017	0.007	0.012	0.013
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS002673EFE	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS039AA1507	0.065	0.011	0.027	0.039	0.194	0.011	0.061	0.015
WNT11	O96014	False	WNT11_HUMAN		CPI-SS0874B02CC	0.015	0.014	0.014	0.001	0.017	0.007	0.012	0.013
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0FA5D6D20	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS011982BBF	0.065	0.011	0.027	0.039	0.194	0.011	0.061	0.015
WNT11	O96014	False	WNT11_HUMAN		CPI-SS0398DF005	0.015	0.014	0.014	0.001	0.017	0.007	0.012	0.013
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0BC3B9EF8	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS03D0D3808	0.065	0.011	0.027	0.039	0.194	0.011	0.061	0.015
WNT11	O96014	False	WNT11_HUMAN		CPI-SS03D254C51	0.015	0.014	0.014	0.001	0.017	0.007	0.012	0.013
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0B2D5BA95	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0B543764D	0.065	0.011	0.027	0.039	0.194	0.011	0.061	0.015
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0709500FF	0.044	0.012	0.014	0.039	0.127	0.008	0.026	0.02
KNG1	P01042	False	KNG1_HUMAN		CPI-SS0F21F1570	0.001	0.015	0.0	0.004	0.0	0.0	0.0	0.0
KNG1	P01042	False	KNG1_HUMAN		CPI-SS075D9B9AD	0.001	0.015	0.0	0.004	0.0	0.0	0.0	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.016	0.01	0.197	0.158	0.004	0.269	0.004	0.106
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0E64BD55B	0.048	0.212	0.337	0.123	0.033	0.069	0.052	0.079
PDGFD	Q9GZP0	False	PDGFD_HUMAN		CPI-SS0B3C76C9D	0.059	0.017	0.016	0.033	0.351	0.063	0.033	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	0.016	0.01	0.197	0.158	0.004	0.269	0.004	0.106
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.048	0.212	0.337	0.123	0.033	0.069	0.052	0.079
PDGFC	Q9NRA1	False	PDGFC_HUMAN		CPI-SS06DA9B4FE	0.014	0.024	0.013	0.035	0.02	0.011	0.198	0.03
NGF	P01138	False	NGF_HUMAN		CPI-SS0EDD4928A	0.025	0.004	0.218	0.011	0.013	0.005	0.0	0.0
NTF3	P20783	False	NTF3_HUMAN		CPI-SS05162C56B	0.079	0.009	0.351	0.026	0.172	0.019	0.034	0.03
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	0.079	0.009	0.351	0.026	0.172	0.019	0.034	0.03
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	0.024	0.006	0.213	0.027	0.024	0.003	0.02	0.0
NEU1	P01178	False	NEU1_HUMAN		CPI-SS04B547174	0.177	0.354	0.155	0.107	0.157	0.154	0.105	0.164
OXT	P01178	False	NEU1_HUMAN		CPI-SS04B547174	0.177	0.354	0.155	0.107	0.157	0.154	0.105	0.164
AVP	P01185	False	NEU2_HUMAN		CPI-SS0FCF733EA	0.001	0.005	0.0	0.0	0.003	0.001	0.0	0.0
AVP	P01185	False	NEU2_HUMAN		CPI-SS00399ED03	0.001	0.005	0.0	0.0	0.003	0.001	0.0	0.0
POMC	P01189	False	COLI_HUMAN		CPI-SS00BD8FF72	0.038	0.04	0.036	0.024	0.025	0.059	0.071	0.012
PRL	P01236	False	PRL_HUMAN		CPI-SS00689751B	0.001	0.002	0.016	0.0	0.0	0.005	0.017	0.0
PTHLH	P12272	False	PTHR_HUMAN		CPI-SS0483CE4ED	0.001	0.001	0.005	0.011	0.0	0.009	0.0	0.0
GCG	P01275	False	GLUC_HUMAN		CPI-SS04D518182	0.021	0.021	0.006	0.007	0.017	0.007	0.048	0.009
GCG	P01275	False	GLUC_HUMAN		CPI-SS0D6DD505A	0.021	0.021	0.006	0.007	0.017	0.007	0.048	0.009
VIP	P01282	False	VIP_HUMAN		CPI-SS0C8A09915	0.017	0.015	0.025	0.342	0.014	0.097	0.0	0.012
VIP	P01282	False	VIP_HUMAN		CPI-SS05B60E59C	0.017	0.015	0.025	0.342	0.014	0.097	0.0	0.012
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	0.065	0.032	0.068	0.039	0.503	0.063	0.035	0.036
PYY	P10082	False	PYY_HUMAN		CPI-SS0A9F17199	0.074	0.064	0.044	0.063	0.06	0.083	0.069	0.077
NPY	P01303	False	NPY_HUMAN		CPI-SS08171C005	0.065	0.032	0.068	0.039	0.503	0.063	0.035	0.036
PYY	P10082	False	PYY_HUMAN		CPI-SS0785718FF	0.074	0.064	0.044	0.063	0.06	0.083	0.069	0.077
IL1A	P01583	False	IL1A_HUMAN		CPI-SC0A571192D	0.011	0.005	0.0	0.004	0.001	0.009	0.004	0.282
IL1B	P01584	False	IL1B_HUMAN		CPI-SC0CE052837	0.066	0.082	0.084	0.054	0.053	0.085	0.053	1.337
IL1A	P01583	False	IL1A_HUMAN		CPI-SS06DFB4087	0.011	0.005	0.0	0.004	0.001	0.009	0.004	0.282
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0275F086A	0.066	0.082	0.084	0.054	0.053	0.085	0.053	1.337
AMH	P03971	False	MIS_HUMAN		CPI-SC0D0875A7D	0.009	0.018	0.007	0.073	0.01	0.033	0.0	0.0
AMH	P03971	False	MIS_HUMAN		CPI-SC0F3EF4354	0.009	0.018	0.007	0.073	0.01	0.033	0.0	0.0
IL6	P05231	False	IL6_HUMAN		CPI-SC0691A5039	0.008	0.002	0.02	0.022	0.006	0.065	0.0	0.025
EDN1	P05305	False	EDN1_HUMAN		CPI-SS09B92F236	0.162	0.957	0.128	0.132	0.143	0.397	0.112	0.101
EDN3	P14138	False	EDN3_HUMAN		CPI-SS0696491A3	0.021	0.032	0.004	0.011	0.005	0.0	0.0	0.032
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	0.162	0.957	0.128	0.132	0.143	0.397	0.112	0.101
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	0.021	0.032	0.004	0.011	0.005	0.0	0.0	0.032
CALCA	P06881	False	CALCA_HUMAN		CPI-SS0C4D532A8	0.008	0.001	0.002	0.141	0.006	0.003	0.0	0.0
ADM	P35318	False	ADML_HUMAN		CPI-SS0C8E4D226	0.095	0.303	0.137	0.071	0.183	0.267	0.109	0.103
PROS1	P07225	False	PROS_HUMAN		CPI-SS0C85BC9AF	0.062	0.072	0.03	0.038	0.119	0.131	0.039	0.016
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS0AE964947	0.094	0.218	0.386	0.099	0.065	0.295	0.074	0.157
PROS1	P07225	False	PROS_HUMAN		CPI-SS09C4988F8	0.062	0.072	0.03	0.038	0.119	0.131	0.039	0.016
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS0BDA0E5E0	0.094	0.218	0.386	0.099	0.065	0.295	0.074	0.157
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS0F7FF099C	0.094	0.218	0.386	0.099	0.065	0.295	0.074	0.157
PSAP	P07602	False	SAP_HUMAN		CPI-SS0D8DE8E59	0.539	0.492	0.464	0.697	0.718	0.731	0.555	0.973
PSAP	P07602	False	SAP_HUMAN		CPI-SS075B1AA3A	0.539	0.492	0.464	0.697	0.718	0.731	0.555	0.973
CSF1	P09603	False	CSF1_HUMAN		CPI-SS0AB1F04A0	0.177	0.018	0.23	0.072	0.323	0.171	0.051	0.03
IL34	Q6ZMJ4	False	IL34_HUMAN		CPI-SS015162AFC	0.048	0.041	0.088	0.0	0.042	0.012	0.038	0.0
CSF3	P09919	False	CSF3_HUMAN		CPI-SS08376F0E6	0.0	0.002	0.0	0.0	0.003	0.041	0.0	0.0
APELA	P0DMC3	False	ELA_HUMAN		CPI-SS08719F19E	0.007	0.002	0.024	0.0	0.04	0.005	0.013	0.0
APLN	Q9ULZ1	False	APEL_HUMAN		CPI-SS086CB298F	0.005	0.004	0.004	0.0	0.003	0.147	0.0	0.0
IL7	P13232	False	IL7_HUMAN		CPI-SC0DDE73534	0.007	0.013	0.003	0.008	0.081	0.008	0.006	0.0
OSM	P13725	False	ONCM_HUMAN		CPI-SC05FD083DD	0.0	0.002	0.0	0.003	0.0	0.002	0.0	0.18
LIF	P15018	False	LIF_HUMAN		CPI-SC0A174E3F3	0.013	0.067	0.011	0.011	0.006	0.031	0.008	0.082
CTF1	Q16619	False	CTF1_HUMAN		CPI-SC085ED634B	0.024	0.011	0.025	0.023	0.045	0.006	0.04	0.0
OSM	P13725	False	ONCM_HUMAN		CPI-SC097AC037F	0.0	0.002	0.0	0.003	0.0	0.002	0.0	0.18
HGF	P14210	False	HGF_HUMAN		CPI-SS0109FE6AE	0.022	0.001	0.062	0.024	0.041	0.017	0.005	0.0
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0133239EA	0.005	0.0	0.0	0.049	0.003	0.006	0.0	0.0
TAC1	P20366	False	TKN1_HUMAN		CPI-SS061ED1543	0.005	0.062	0.004	0.029	0.005	0.009	0.0	0.0
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	0.005	0.062	0.004	0.029	0.005	0.009	0.0	0.0
IL11	P20809	False	IL11_HUMAN		CPI-SC08C22BB9B	0.005	0.006	0.003	0.003	0.006	0.0	0.0	0.029
GAL	P22466	False	GALA_HUMAN		CPI-SS04BCE85CA	0.029	0.016	0.035	0.328	0.023	0.016	0.037	0.0
GAL	P22466	False	GALA_HUMAN		CPI-SS0BE567EFB	0.029	0.016	0.035	0.328	0.023	0.016	0.037	0.0
TNFSF4	P23510	False	TNFL4_HUMAN		CPI-SS04456F441	0.004	0.003	0.012	0.0	0.0	0.006	0.0	0.0
NPPC	P23582	False	ANFC_HUMAN		CPI-SS04EE13FF7	0.072	0.025	0.132	0.036	0.019	0.064	0.051	0.012
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.451	0.849	0.365	0.268	0.563	0.668	0.363	0.531
GDNF	P39905	False	GDNF_HUMAN		CPI-SS06F5E4F78	0.099	0.014	0.073	0.023	0.154	0.019	0.212	0.012
ARTN	Q5T4W7	False	ARTN_HUMAN		CPI-SS06D2BC14F	0.018	0.005	0.178	0.07	0.008	0.004	0.02	0.018
ARTN	Q5T4W7	False	ARTN_HUMAN		CPI-SS01F980BBB	0.018	0.005	0.178	0.07	0.008	0.004	0.02	0.018
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS0431D2256	0.211	0.048	0.363	0.119	0.155	0.267	0.024	0.224
